article_id,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20
A0328,0.7,0.186,0.277,0.116,0.567,0.949,0.577,0.689,0.657,0.852,0.876,0.38,0.211,0.188,0.902,0.751,0.501,0.356,0.618,0.405
A0329,0.634,0.285,0.709,0.646,0.55,0.838,0.574,0.907,0.732,0.334,0.936,0.888,0.245,0.749,0.02,0.241,0.49,0.258,0.578,0.174
A0330,0.861,0.369,0.796,0.134,0.203,0.633,0.953,0.685,0.249,0.887,0.704,0.373,0.638,0.844,0.401,0.801,0.276,0.848,0.397,0.547
A0331,0.995,0.114,0.229,0.839,0.438,0.697,0.995,0.402,0.515,0.325,0.496,0.635,0.766,0.727,0.546,0.415,0.748,0.231,0.051,0.724
A0332,0.583,0.844,0.253,0.154,0.243,0.659,0.619,0.489,0.855,0.59,0.806,0.152,0.714,0.804,0.566,0.349,0.341,0.055,0.51,0.205
A0333,0.529,0.394,0.304,0.854,0.211,0.389,0.434,0.644,0.81,0.066,0.379,0.515,0.059,0.953,0.345,0.764,0.87,0.971,0.288,0.806
A0334,0.109,0.233,0.052,0.328,0.812,0.468,0.928,0.883,0.383,0.578,0.265,0.453,0.58,0.391,0.477,0.647,0.897,0.78,0.445,0.191
A0335,0.03,0.719,0.16,0.724,0.678,0.714,0.803,0.554,0.802,0.569,0.717,0.289,0.337,0.86,0.056,0.246,0.673,0.475,0.828,0.622
A0336,0.421,0.249,0.266,0.249,0.963,0.512,0.93,0.185,0.887,0.083,0.559,0.557,0.482,0.825,0.256,0.496,0.77,0.425,0.962,0.198
A0337,0.89,0.189,0.415,0.268,0.335,0.801,0.243,0.933,0.598,0.209,0.503,0.737,0.834,0.062,0.786,0.941,0.418,0.771,0.348,0.258
A0338,0.394,0.117,0.515,0.137,0.024,0.76,0.533,0.851,0.815,0.202,0.742,0.391,0.904,0.634,0.621,0.017,0.999,0.943,0.682,0.821
A0339,0.109,0.755,0.357,0.344,0.755,0.714,0.949,0.12,0.877,0.339,0.3,0.336,0.403,0.268,0.958,0.838,0.515,0.962,0.84,0.518
A0340,0.885,0.511,0.876,0.799,0.733,0.674,0.852,0.698,0.166,0.701,0.763,0.626,0.269,0.108,0.594,0.276,0.58,0.617,0.78,0.286
A0341,0.082,0.898,0.517,0.888,0.768,0.281,0.088,0.038,0.553,0.454,0.41,0.995,0.597,0.328,0.721,0.698,0.368,0.422,0.883,0.324
A0342,0.507,0.928,0.41,0.594,0.937,0.313,0.275,0.741,0.07,0.588,0.873,0.314,0.027,0.432,0.072,0.975,0.589,0.684,0.204,0.887
A0343,0.152,0.442,0.66,0.531,0.848,0.246,0.489,0.402,0.74,0.341,0.574,0.346,0.908,0.74,0.852,0.98,0.212,0.315,0.959,0.777
A0344,0.478,0.304,0.848,0.587,0.746,0.113,0.679,0.248,0.993,0.532,0.29,0.928,0.675,0.167,0.994,0.962,0.864,0.63,0.148,0.443
A0345,0.729,0.139,0.818,0.204,0.926,0.199,0.786,0.775,0.6,0.549,0.946,0.06,0.62,0.546,0.129,0.751,0.22,0.835,0.606,0.703
A0346,0.08,0.258,0.055,0.575,0.931,0.784,0.072,0.164,0.758,0.138,0.924,0.204,0.437,0.828,0.15,0.828,0.431,0.592,0.379,0.426
A0347,0.877,0.573,0.095,0.374,0.969,0.11,0.214,0.629,0.74,0.754,0.052,0.049,0.433,0.353,0.009,0.124,0.161,0.591,0.621,0.057
A0348,0.793,0.138,0.734,0.999,0.938,0.815,0.336,0.647,0.124,0.084,0.887,0.586,0.655,0.867,0.634,0.977,0.765,0.134,0.72,0.458
A0349,0.966,0.955,0.076,0.182,0.485,0.759,0.986,0.093,0.474,0.409,0.894,0.131,0.301,0.828,0.864,0.828,0.816,0.416,0.117,0.466
A0350,0.517,0.103,0.935,0.284,0.71,0.706,0.082,0.297,0.697,0.081,0.774,0.76,0.552,0.876,0.07,0.496,0.49,0.953,0.688,0.349
A0351,0.217,0.608,0.632,0.203,0.253,0.365,0.925,0.915,0.595,0.778,0.372,0.672,0.185,0.541,0.625,0.562,0.83,0.831,0.513,0.014
A0352,0.129,0.564,0.302,0.666,0.318,0.201,0.09,0.251,0.302,0.411,0.693,0.682,0.483,0.513,0.051,0.982,0.8,0.155,0.811,0.669
A0353,0.34,0.041,0.446,0.36,0.391,0.057,0.911,0.455,0.835,0.717,0.289,0.188,0.823,0.315,0.189,0.791,0.876,0.613,0.792,0.163
A0354,0.428,0.418,0.112,0.434,0.686,0.553,0.877,0.164,0.759,0.988,0.468,0.457,0.347,0.632,0.114,0.093,0.357,0.509,0.035,0.563
A0355,0.346,0.44,0.478,0.713,0.716,0.406,0.817,0.294,0.747,0.912,0.565,0.945,0.812,0.615,0.527,0.013,0.603,0.162,0.599,0.649
A0356,0.737,0.923,0.197,0.267,0.187,0.56,0.192,0.569,0.422,0.613,0.276,0.495,0.742,0.883,0.798,0.621,0.306,0.309,0.981,0.007
A0357,0.96,0.429,0.223,0.452,0.376,0.861,0.383,0.238,0.334,0.431,0.311,0.775,0.017,0.237,0.606,0.905,0.69,0.477,0.604,0.441
A0358,0.201,0.685,0.324,0.212,0.906,0.193,0.027,0.649,0.515,0.55,0.438,0.532,0.104,0.713,0.259,0.002,0.076,0.712,0.362,0.998
A0359,0.752,0.123,0.067,0.926,0.65,0.67,0.364,0.564,0.35,0.896,0.484,0.333,0.851,0.457,0.814,0.496,0.636,0.838,0.084,0.635
A0360,0.975,0.829,0.612,0.504,0.906,0.214,0.694,0.896,0.473,0.769,0.812,0.46,0.549,0.286,0.027,0.469,0.242,0.132,0.4,0.968
A0361,0.31,0.645,0.919,0.772,0.008,0.331,0.075,0.84,0.815,0.71,0.612,0.275,0.113,0.969,0.064,0.676,0.689,0.254,0.048,0.127
A0362,0.195,0.253,0.621,0.457,0.35,0.307,0.812,0.051,0.247,0.217,0.534,0.858,0.325,0.596,0.633,0.858,0.986,0.752,0.102,0.989
A0363,0.496,0.886,0.618,0.647,0.164,0.758,0.763,0.802,0.793,0.585,0.039,0.416,0.222,0.682,0.67,0.144,0.665,0.916,0.748,0.506
A0364,0.66,0.754,0.338,0.731,0.517,0.297,0.717,0.596,0.611,0.413,0.432,0.051,0.219,0.8,0.516,0.574,0.161,0.925,0.296,0.283
A0365,0.676,0.653,0.714,0.476,0.453,0.571,0.517,0.396,0.53,0.936,0.848,0.527,0.266,0.365,0.133,0.857,0.121,0.769,0.367,0.902
A0366,0.452,0.693,0.413,0.843,0.536,0.892,0.26,0.065,0.861,0.083,0.567,0.973,0.501,0.843,0.024,0.793,0.479,0.073,0.511,0.948
A0367,0.202,0.516,0.978,0.988,0.697,0.273,0.237,0.821,0.303,0.43,0.06,0.781,0.569,0.418,0.556,0.033,0.484,0.865,0.665,0.854
A0368,0.703,0.007,0.372,0.966,0.566,0.38,0.864,0.722,0.65,0.656,0.906,0.509,0.845,0.994,0.772,0.475,0.056,0.584,0.581,0.467
A0369,0.225,0.109,0.585,0.999,0.187,0.515,0.957,0.954,0.136,0.34,0.945,0.825,0.812,0.364,0.022,0.148,0.189,0.569,0.797,0.222
A0370,0.246,0.186,0.691,0.16,0.522,0.412,0.119,0.015,0.879,0.625,0.704,0.008,0.189,0.242,0.95,0.388,0.219,0.762,0.626,0.572
A0371,0.994,0.246,0.484,0.148,0.279,0.265,0.076,0.695,0.663,0.566,0.095,0.996,0.168,0.582,0.82,0.667,0.775,0.791,0.854,0.524
A0372,0.186,0.545,0.526,0.358,0.766,0.884,0.411,0.529,0.228,0.676,0.944,0.935,0.07,0.321,0.553,0.301,0.785,0.554,0.085,0.482
A0373,0.383,0.392,0.778,0.894,0.586,0.156,0.421,0.927,0.434,0.949,0.331,0.041,0.692,0.912,0.984,0.245,0.01,0.247,0.181,0.396
A0374,0.639,0.54,0.29,0.239,0.254,0.102,0.479,0.762,0.224,0.342,0.422,0.424,0.665,0.152,0.124,0.367,0.544,0.049,0.416,0.263
A0375,0.322,0.767,0.893,0.505,0.317,0.071,0.951,0.074,0.023,0.102,0.511,0.982,0.668,0.811,0.307,0.171,0.321,0.592,0.205,0.935
A0376,0.353,0.148,0.331,0.374,0.433,0.002,0.941,0.068,0.165,0.427,0.523,0.077,0.826,0.146,0.639,0.225,0.205,0.569,0.293,0.496
A0377,0.964,0.771,0.979,0.617,0.341,0.686,0.574,0.302,0.721,0.282,0.187,0.363,0.055,0.745,0.916,0.536,0.912,0.355,0.68,0.154
A0378,1.0,0.057,0.827,0.908,0.824,0.878,0.533,0.149,0.326,0.682,0.272,0.379,0.165,0.758,0.507,0.638,0.215,0.424,0.511,0.977
A0379,0.013,0.687,0.453,0.465,0.164,0.959,0.066,0.928,0.441,0.829,0.664,0.152,0.4,0.65,0.036,0.243,0.473,0.075,0.064,0.54
A0380,0.892,0.403,0.206,0.857,0.84,0.269,0.527,0.78,0.692,0.22,0.068,0.475,0.283,0.663,0.778,0.24,0.821,0.473,0.066,0.586
A0381,0.548,0.359,0.52,0.579,0.697,0.286,0.761,0.915,0.241,0.746,0.073,0.515,0.176,0.712,0.381,0.551,0.602,0.637,0.657,0.215
A0382,0.535,0.755,0.182,0.015,0.284,0.707,0.63,0.243,0.515,0.862,0.758,0.652,0.189,0.53,0.508,0.256,0.265,0.989,0.126,0.306
A0383,0.38,0.475,0.399,0.609,0.584,0.589,0.914,0.801,0.065,0.395,0.364,0.441,0.536,0.683,0.599,0.126,0.087,0.48,0.753,0.768
A0384,0.74,0.211,0.139,0.788,0.932,0.741,0.861,0.317,0.356,0.052,0.768,0.07,0.87,0.992,0.183,0.853,0.088,0.59,0.952,0.16
A0385,0.581,0.004,0.897,0.011,0.797,0.541,0.398,0.908,0.013,0.242,0.969,0.089,0.8,0.381,0.915,0.137,0.25,0.503,0.497,0.982
A0386,0.591,0.52,0.203,0.467,0.356,0.767,0.357,0.197,0.554,0.126,0.166,0.604,0.074,0.624,0.751,0.113,0.383,0.026,0.004,0.427
A0387,0.39,0.632,0.345,0.307,0.266,0.347,0.861,0.14,0.369,0.996,0.755,0.596,0.859,0.343,0.163,0.233,0.71,0.072,0.485,0.885
A0388,0.968,0.511,0.268,0.578,0.079,0.204,0.161,0.056,0.213,0.616,0.599,0.457,0.665,0.733,0.998,0.525,0.809,0.497,0.315,0.056
A0389,0.056,0.674,0.002,0.639,0.552,0.452,0.726,0.218,0.69,0.464,0.456,0.74,0.241,0.922,0.183,0.843,0.384,0.73,0.075,0.417
A0390,0.727,0.396,0.702,0.035,0.166,0.988,0.737,0.025,0.686,0.407,0.118,0.961,0.574,0.553,0.832,0.958,0.433,0.098,0.686,0.817
A0391,0.848,0.106,0.231,0.872,0.804,0.403,0.684,0.098,0.664,0.058,0.277,0.697,0.496,0.71,0.6,0.496,0.647,0.389,0.502,0.584
A0392,0.161,0.724,0.818,0.55,0.923,0.518,0.393,0.655,0.228,0.333,0.688,0.776,0.317,0.404,0.603,0.44,0.634,0.601,0.432,0.413
A0393,0.571,0.218,0.531,0.534,0.234,0.861,0.596,0.311,0.538,0.126,0.707,0.746,0.241,0.238,0.19,0.046,0.682,0.484,0.356,0.069
A0394,0.27,0.696,0.182,0.416,0.627,0.378,0.065,0.93,0.284,0.252,0.28,0.805,0.11,0.104,0.18,0.308,0.103,0.461,0.231,0.492
A0395,0.749,0.194,0.384,0.155,0.377,0.464,0.809,0.99,0.554,0.716,0.283,0.577,0.029,0.039,0.753,0.507,0.697,0.429,0.0,0.108
A0396,0.587,0.36,0.141,0.769,0.057,0.1,0.935,0.929,0.028,0.376,0.865,0.451,0.682,0.2,0.272,0.178,0.414,0.186,0.747,0.67
A0397,0.805,0.602,0.348,0.906,0.064,0.482,0.923,0.607,0.087,0.157,0.235,0.496,0.705,0.578,0.571,0.517,0.584,0.385,0.926,0.46
A0398,0.668,0.868,0.899,0.329,0.189,0.611,0.604,0.792,0.649,0.511,0.806,0.781,0.93,0.307,0.651,0.202,0.861,0.383,0.315,0.713
A0399,0.537,0.372,0.671,0.642,0.377,0.593,0.96,0.29,0.677,0.746,0.754,0.44,0.033,0.658,0.146,0.194,0.432,0.236,0.786,0.991
A0400,0.628,0.431,0.749,0.051,0.097,0.72,0.883,0.198,0.479,0.019,0.812,0.402,0.15,0.201,0.999,0.6,0.513,0.931,0.273,0.636
A0401,0.737,0.473,0.598,0.239,0.741,0.189,0.557,0.379,0.057,0.431,0.383,0.442,0.332,0.835,0.501,0.653,0.21,0.923,0.77,0.725
A0402,0.716,0.711,0.367,0.09,0.232,0.255,0.761,0.43,0.921,0.949,0.852,0.344,0.201,0.512,0.494,0.032,0.637,0.961,0.082,0.026
A0403,0.026,0.445,0.102,0.171,0.956,0.356,0.746,0.951,0.899,0.989,0.84,0.157,0.087,0.647,0.132,0.895,0.478,0.433,0.203,0.657
A0404,0.39,0.564,0.803,0.329,0.857,0.637,0.128,0.613,0.587,0.936,0.995,0.258,0.423,0.392,0.854,0.813,0.95,0.215,0.598,0.628
A0405,0.088,0.166,0.823,0.604,0.973,0.126,0.17,0.312,0.903,0.735,0.678,0.922,0.771,0.139,0.666,0.007,0.313,0.687,0.475,0.949
A0406,0.16,0.955,0.323,0.755,0.691,0.075,0.224,0.517,0.702,0.947,0.519,0.338,0.825,0.223,0.316,0.846,0.541,0.82,0.64,0.122
A0407,0.494,0.405,0.454,0.549,0.65,0.924,0.134,0.723,0.184,0.226,0.869,0.929,0.399,0.793,0.909,0.951,0.184,0.642,0.758,0.041
A0408,0.594,0.125,0.032,0.567,0.284,0.412,0.758,0.166,0.85,0.018,0.985,0.661,0.247,0.392,0.895,0.884,0.965,0.943,0.697,0.579
A0409,0.689,0.582,0.337,0.335,0.404,0.778,0.228,0.464,0.249,0.286,0.437,0.69,0.954,0.56,0.504,0.225,0.957,0.706,0.164,0.571
A0410,0.902,0.731,0.124,0.058,0.821,0.6,0.557,0.592,0.85,0.863,0.121,0.649,0.744,0.776,0.538,0.502,0.173,0.596,0.069,0.791
A0411,0.043,0.72,0.148,0.115,0.195,0.883,0.319,0.614,0.96,0.275,0.467,0.687,0.391,0.789,0.718,0.1,0.753,0.703,0.444,0.313
A0412,0.489,0.525,0.202,0.906,0.074,0.714,0.998,0.316,0.39,0.413,0.176,0.075,0.205,0.461,0.864,0.787,0.933,0.287,0.302,0.444
A0413,0.238,0.14,0.403,0.69,0.672,0.601,0.419,0.85,0.502,0.481,0.621,0.567,0.142,0.026,0.859,0.552,0.484,0.655,0.119,0.622
A0414,0.298,0.957,0.814,0.176,0.145,0.382,0.942,0.398,0.997,0.123,0.349,0.991,0.784,0.788,0.937,0.959,0.186,0.507,0.448,0.145
A0415,0.813,0.106,0.278,0.695,0.8,0.333,0.23,0.323,0.075,0.113,0.931,0.086,0.632,0.364,0.188,0.798,0.622,0.887,0.149,0.62
A0416,0.731,0.91,0.817,0.34,0.873,0.634,0.099,0.429,0.96,0.698,0.268,0.93,0.305,0.704,0.814,0.215,0.397,0.36,0.042,0.637
A0417,0.646,0.444,0.611,0.1,0.922,0.032,0.355,0.263,0.697,0.509,0.653,0.373,0.592,0.942,0.915,0.823,0.485,0.578,0.545,0.782
A0418,0.8,0.756,0.906,0.507,0.231,0.726,0.192,0.765,0.096,0.614,0.031,0.944,0.306,0.229,0.344,0.589,0.855,0.588,0.725,0.254
A0419,0.983,0.441,0.936,0.199,0.929,0.506,0.749,0.362,0.207,0.28,0.769,0.492,0.861,0.172,0.042,0.207,0.281,0.332,0.172,0.206
A0420,0.741,0.754,0.204,0.195,0.085,0.5,0.664,0.882,0.538,0.875,0.688,0.019,0.323,0.454,0.733,0.754,0.404,0.068,0.778,0.855
A0421,0.656,0.31,0.335,0.084,0.643,0.635,0.712,0.575,0.035,0.167,0.072,0.559,0.061,0.008,0.657,0.859,0.505,0.015,0.244,0.984
A0422,0.063,0.395,0.364,0.58,0.697,0.187,0.323,0.554,0.692,0.134,0.51,0.281,0.222,0.049,0.124,0.257,0.371,0.198,0.078,0.354
A0423,0.96,0.657,0.433,0.946,0.443,0.926,0.141,0.104,0.439,0.073,0.189,0.249,0.021,0.979,0.327,0.121,0.696,0.427,0.707,0.235
A0424,0.43,0.767,0.889,0.921,0.181,0.76,0.604,0.153,0.463,0.966,0.299,0.931,0.262,0.458,0.106,0.639,0.694,0.773,0.843,0.164
A0425,0.635,0.571,0.698,0.104,0.37,0.324,0.76,0.818,0.479,0.638,0.464,0.05,0.459,0.405,0.804,0.723,0.144,0.957,0.075,0.339
A0426,0.511,0.699,0.442,0.62,0.172,0.591,0.471,0.986,0.461,0.334,0.102,0.548,0.815,0.691,0.163,0.371,0.482,0.897,0.83,0.901
A0427,0.636,0.157,0.112,0.709,0.804,0.103,0.129,0.078,0.48,0.475,0.749,0.289,0.966,0.499,0.306,0.903,0.858,0.32,0.041,0.277
A0428,0.86,0.292,0.73,0.576,0.814,0.488,0.443,0.163,0.295,0.803,0.853,0.683,0.091,0.697,0.24,0.325,0.603,0.151,0.104,0.628
A0429,0.395,0.244,0.141,0.12,0.928,0.131,0.213,0.482,0.744,0.746,0.734,0.048,0.37,0.394,0.341,0.864,0.088,0.392,0.582,0.904
A0430,0.389,0.812,0.124,0.625,0.92,0.078,0.802,0.423,0.499,0.836,0.472,0.502,0.99,0.941,0.423,0.869,0.702,0.643,0.891,0.926
A0431,0.883,0.521,0.63,0.692,0.314,0.436,0.993,0.93,0.011,0.682,0.613,0.308,0.308,0.677,0.245,0.196,0.094,0.013,0.351,0.241
A0432,0.389,0.05,0.321,0.79,0.297,0.561,0.004,0.855,0.21,0.24,0.054,0.894,0.337,0.694,0.93,0.985,0.715,0.923,0.796,0.668
A0433,0.958,0.119,0.862,0.86,0.463,0.332,0.41,0.532,0.366,0.584,0.632,0.715,0.736,0.662,0.313,0.565,0.009,0.916,0.627,0.733
A0434,0.024,0.478,0.259,0.607,0.85,0.798,0.346,0.449,0.743,0.096,0.338,0.403,0.094,0.142,0.66,0.992,0.842,0.685,0.11,0.304
A0435,0.062,0.792,0.892,0.128,0.354,0.466,0.684,0.691,0.611,0.839,0.689,0.267,0.553,0.163,0.006,0.757,0.762,0.922,0.67,0.427
A0436,0.12,0.818,0.819,0.775,0.663,0.896,0.565,0.819,0.457,0.456,0.795,0.512,0.322,0.252,0.184,0.213,0.406,0.618,0.633,0.722
A0437,0.467,0.913,0.38,0.681,0.803,0.597,0.472,0.767,0.66,0.123,0.597,0.051,0.643,0.261,0.712,0.325,0.358,0.97,0.554,0.94
A0438,0.348,0.684,0.06,0.146,0.424,0.692,0.734,0.055,0.68,0.656,0.65,0.264,0.865,0.004,0.854,0.856,0.433,0.521,0.055,0.693
A0439,0.568,0.361,0.306,0.864,0.333,0.604,0.213,0.796,0.094,0.682,0.397,0.929,0.975,0.632,0.144,0.049,0.472,0.805,0.381,0.246
A0440,0.799,0.461,0.869,0.599,0.184,0.388,0.74,0.59,0.534,0.169,0.743,0.123,0.407,0.559,0.907,0.787,0.869,0.984,0.702,0.444
A0441,0.906,0.744,0.866,0.318,0.039,0.006,0.452,0.74,0.28,0.084,0.315,0.182,0.761,0.261,0.554,0.821,0.253,0.621,0.946,0.324
A0442,0.665,0.128,0.399,0.322,0.666,0.718,0.599,0.787,0.557,0.486,0.797,0.239,0.996,0.596,0.951,0.745,0.412,0.592,0.206,0.839
A0443,0.173,0.941,0.085,0.464,0.207,0.943,0.045,0.643,0.48,0.245,0.457,0.829,0.731,0.29,0.494,0.286,0.819,0.863,0.696,0.878
A0444,0.481,0.981,0.096,0.92,0.784,0.45,0.878,0.285,0.607,0.417,0.226,0.763,0.993,0.265,0.389,0.203,0.76,0.157,0.508,0.728
A0445,0.162,0.684,0.587,0.957,0.244,0.019,0.757,0.619,0.315,0.48,0.633,0.665,0.325,0.333,0.734,0.328,0.286,0.054,0.415,0.845
A0446,0.459,0.061,0.289,0.484,0.81,0.782,0.619,0.169,0.999,0.913,0.41,0.254,0.399,0.425,0.044,0.162,0.788,0.169,0.233,0.402
A0447,0.597,0.941,0.586,0.551,0.9,0.585,0.338,0.492,0.491,0.339,0.58,0.389,0.615,0.055,0.829,0.128,0.648,0.166,0.213,0.084
A0448,0.685,0.22,0.27,0.797,0.729,0.334,0.898,0.187,0.559,0.134,0.465,0.129,0.745,0.944,0.728,0.742,0.058,0.421,0.565,0.086
A0449,0.213,0.549,0.667,0.003,0.923,0.206,0.585,0.204,0.089,0.894,0.655,0.235,0.312,0.101,0.889,0.122,0.466,0.353,0.53,0.028
A0450,0.699,0.318,0.982,0.192,0.868,0.709,0.914,0.17,0.012,0.571,0.315,0.532,0.663,0.228,0.498,0.751,0.76,0.246,0.809,0.973
A0451,0.706,0.004,0.911,0.426,0.512,0.228,0.593,0.698,0.001,0.222,0.93,0.696,0.375,0.431,0.403,0.044,0.577,0.962,0.706,0.683
A0452,0.812,0.586,0.902,0.957,0.316,0.218,0.563,0.756,0.468,0.873,0.868,0.851,0.767,0.486,0.793,0.916,0.89,0.625,0.263,0.684
A0453,0.122,0.132,0.897,0.115,0.619,0.364,0.072,0.644,0.741,0.512,0.404,0.397,0.557,0.423,0.586,0.596,0.871,0.299,0.009,0.538
A0454,0.793,0.083,0.617,0.302,0.183,0.595,0.317,0.078,0.115,0.583,0.813,0.418,0.463,0.483,0.762,0.76,0.203,0.185,0.804,0.61
A0455,0.727,0.142,0.761,0.409,0.535,0.419,0.151,0.54,0.314,0.246,0.686,0.614,0.293,0.698,0.365,0.583,0.001,0.849,0.432,0.358
A0456,0.571,0.899,0.135,0.468,0.095,0.999,0.841,0.027,0.384,0.145,0.243,0.031,0.854,0.076,0.268,0.1,0.706,0.453,0.626,0.508
A0457,0.368,0.476,0.819,0.684,0.253,0.501,0.414,0.059,0.825,0.895,0.396,0.693,0.179,0.631,0.028,0.352,0.565,0.135,0.674,0.93
A0458,0.485,0.323,0.059,0.448,0.592,0.373,0.121,0.856,0.663,0.878,0.352,0.11,0.636,0.142,0.279,0.306,0.804,0.136,0.15,0.661
A0459,0.312,0.299,0.742,0.277,0.64,0.428,0.904,0.274,0.547,0.341,0.703,0.785,0.099,0.776,0.877,0.668,0.1,0.926,0.15,0.251
A0460,0.124,0.741,0.911,0.564,0.564,0.771,0.841,0.422,0.752,0.345,0.068,0.223,0.767,0.682,0.784,0.913,0.27,0.094,0.99,0.824
A0461,0.359,0.961,0.623,0.045,0.326,0.119,0.309,0.433,0.474,0.642,0.448,0.35,0.173,0.788,0.113,0.857,0.096,0.273,0.401,0.639
A0462,0.158,0.529,0.038,0.928,0.677,0.948,0.65,0.114,0.301,0.927,0.011,0.395,0.205,0.494,0.813,0.989,0.389,0.424,0.832,0.514
A0463,0.383,0.969,0.765,0.31,0.351,0.625,0.251,0.222,0.631,0.731,0.898,0.847,0.003,0.25,0.232,0.836,0.281,0.233,0.286,0.032
A0464,0.351,0.774,0.728,0.19,0.971,0.072,0.12,0.805,0.703,0.942,0.641,0.803,0.02,0.48,0.811,0.524,0.927,0.555,0.025,0.091
A0465,0.425,0.873,0.505,0.029,0.599,0.238,0.199,0.228,0.621,0.646,0.422,0.633,0.047,0.524,0.878,0.343,0.353,0.951,0.155,0.854
A0466,0.372,0.518,0.919,0.977,0.935,0.03,0.278,0.552,0.567,0.109,0.328,0.736,0.821,0.387,0.137,0.121,0.095,0.54,0.32,0.874
A0467,0.487,0.583,0.145,0.528,0.678,0.206,0.786,0.526,0.119,0.395,0.94,0.078,0.489,0.815,0.807,0.082,0.469,0.687,0.712,0.499
A0468,0.2,0.311,0.672,0.44,0.169,0.793,0.603,0.872,0.974,0.83,0.673,0.334,0.22,0.224,0.292,0.191,0.086,0.041,0.189,0.728
A0469,1.0,0.467,0.623,0.927,0.477,0.257,0.556,0.213,0.697,0.626,0.741,0.706,0.33,0.023,0.456,0.166,0.852,0.766,0.495,0.133
A0470,0.09,0.138,0.085,0.471,0.251,0.148,0.385,0.712,0.381,0.685,0.021,0.733,0.503,0.717,0.77,0.192,0.971,0.493,0.007,0.991
A0471,0.144,0.546,0.849,0.295,0.861,0.663,0.514,0.229,0.181,0.988,0.915,0.09,0.656,0.677,0.511,0.85,0.674,0.69,0.512,0.889
A0472,0.947,0.762,0.625,0.384,0.966,0.976,0.27,0.79,0.099,0.251,0.74,0.033,0.655,0.424,0.224,0.513,0.276,0.683,0.522,0.479
A0473,0.212,0.514,0.84,0.671,0.483,0.609,0.418,0.428,0.82,0.4,0.625,0.477,0.745,0.588,0.224,0.767,0.374,0.31,0.425,0.364
A0474,0.693,0.019,0.413,0.74,0.326,0.663,0.626,0.83,0.227,0.616,0.046,0.9,0.86,0.705,0.326,0.893,0.13,0.153,0.101,0.208
A0475,0.612,0.549,0.795,0.322,0.388,0.972,0.891,0.872,0.93,0.846,0.208,0.774,0.871,0.158,0.747,0.897,0.642,0.56,0.375,0.219
A0476,0.264,0.934,0.123,0.727,0.003,0.975,0.686,0.776,0.417,0.573,0.441,0.349,0.873,0.883,0.559,0.408,0.92,0.371,0.717,0.704
A0477,0.688,0.701,0.348,0.306,0.431,0.654,0.794,0.132,0.043,0.287,0.503,0.141,0.928,0.58,0.771,0.632,0.706,0.652,0.556,0.419
A0478,0.201,0.636,0.875,0.828,0.885,0.671,0.057,0.568,0.13,0.826,0.176,0.498,0.953,0.779,0.233,0.39,0.242,0.665,0.588,0.508
A0479,0.167,0.465,0.437,0.842,0.849,0.633,0.356,0.899,0.969,0.197,0.64,0.044,0.746,0.478,0.681,0.805,0.223,0.443,0.298,0.449
A0480,0.625,0.577,0.385,0.205,0.906,0.572,0.382,0.894,0.773,0.533,0.736,0.329,0.738,0.74,0.912,0.605,0.385,0.49,0.861,0.079
A0481,0.913,0.512,0.017,0.198,0.951,0.555,0.795,0.868,0.577,0.503,0.821,0.304,0.47,0.191,0.05,0.593,0.265,0.143,0.747,0.147
A0482,0.66,0.952,0.141,0.288,0.565,0.613,0.313,0.105,0.976,0.367,0.391,0.333,0.354,0.326,0.778,0.547,0.428,0.656,0.69,0.887
A0483,0.18,0.213,0.376,0.842,0.657,0.795,0.226,0.404,0.215,0.169,0.26,0.606,0.812,0.161,0.841,0.568,0.306,0.518,0.048,0.18
A0484,0.801,0.204,0.529,0.584,0.008,0.01,0.916,0.962,0.961,0.211,0.947,0.941,0.776,0.184,0.901,0.194,0.297,0.726,0.317,0.773
A0485,0.989,0.617,0.745,0.436,0.783,0.611,0.961,0.455,0.916,0.835,0.247,0.813,0.599,0.614,0.087,0.229,0.921,0.087,0.402,0.101
A0486,0.575,0.79,0.533,0.211,0.896,0.617,0.772,0.001,0.607,0.613,0.135,0.649,0.594,0.368,0.636,0.978,0.508,0.229,0.613,0.084
A0487,0.274,0.804,0.826,0.407,0.192,0.98,0.029,0.393,0.504,0.07,0.701,0.816,0.922,0.228,0.362,0.32,0.128,0.699,0.154,0.843
A0488,0.918,0.879,0.327,0.018,0.004,0.747,0.195,0.445,0.36,0.772,0.992,0.633,0.383,0.241,0.846,0.964,0.348,0.544,0.029,0.248
A0489,0.934,0.47,0.715,0.951,0.606,0.523,0.555,0.284,0.309,0.921,0.184,0.788,0.635,0.581,0.197,0.71,0.901,0.155,0.127,0.321
A0490,0.056,0.176,0.758,0.72,0.633,0.381,0.301,0.931,0.895,0.21,0.761,0.799,0.31,0.013,0.221,0.123,0.04,0.693,0.735,0.521
A0491,0.969,0.046,0.922,0.443,0.008,0.084,0.223,0.247,0.692,0.921,0.768,0.77,0.084,0.632,0.617,0.59,0.775,0.946,0.208,0.417
